Resource,name,version,about_file,about_format,date,description,home_url,download_url,readme,readme_file,install,install_file,changelog,changelog_file,news,news_file,news_url,notes,usage,contact,organization,copyright,copyright_file,notice,notice_file,notice_url,license_text,license_text_file,license_url,license_spdx,redistribute_sources,scm_tool,scm_repository,scm_path,scm_tag,scm_branch,scm_rev,checksum_sha1,checksum_md5,checksum_sha256,dje_component,dje_license,dje_organization,warnings,errors
C:\Users\CYL\nexBWorkspace\about\thirdparty-testdata\csv_serialize.py.ABOUT,csv_serialize,2013-01-16,,,,,http://djangosnippets.org/snippets/2240/,http://djangosnippets.org/snippets/2240/download/,,,,,,,,,,,,,,,,,,,,django_snippets.LICENSE,http://djangosnippets.org/about/tos/,,,,,,,,,,,,,,,{},{}
C:\Users\CYL\nexBWorkspace\about\thirdparty-testdata\django_snippets_2413.ABOUT,Yet another query string template tag,2011-04-12,django_snippets_2413.py,,,,http://djangosnippets.org/snippets/2413/,http://djangosnippets.org/snippets/2413/download/,,,,,,,,,,"This file was modified to include the line ""register = Library()"" 
 without which the template tag is not registered.",,,,,,,,,,django_snippets.LICENSE,http://djangosnippets.org/about/tos/,,,,,,,,,,,,,,,{},{}
C:\Users\CYL\nexBWorkspace\about\thirdparty-testdata\elasticsearch-sources.ABOUT,ElasticSearch,0.19.8,elasticsearch-v0.19.8-g7badcde.tar.gz,,,,http://www.elasticsearch.org/,https://github.com/elasticsearch/elasticsearch/tarball/v0.19.8,,,,,,,,,,Source code for the pre-built binaries we use  ,,,ElasticSearch and Shay Banon,Copyright 2009-2011 ElasticSearch and Shay Banon,,,elasticsearch.NOTICE,,,elasticsearch.LICENSE,,,,git,https://github.com/elasticsearch/elasticsearch.git,,,,badcdee74acec84da3de6c6ea55c692aee4a6f9,,,,,apache-2.0,,{},{}
C:\Users\CYL\nexBWorkspace\about\thirdparty-testdata\elasticsearch.ABOUT,ElasticSearch,0.19.8,elasticsearch-0.19.8.zip,,,,http://www.elasticsearch.org/,https://github.com/downloads/elasticsearch/elasticsearch/elasticsearch-0.19.8.zip,,,,,,,,,,"This a prebuilt version working on all OSes. 
 The tar.gz works only with POSIX OSses and not Windows. ",,,ElasticSearch and Shay Banon,Copyright 2009-2011 ElasticSearch and Shay Banon,,,elasticsearch.NOTICE,,,elasticsearch.LICENSE,,,,git,https://github.com/elasticsearch/elasticsearch.git,,,,badcdee74acec84da3de6c6ea55c692aee4a6f9,,,,,apache-2.0,,{},{}
C:\Users\CYL\nexBWorkspace\about\thirdparty-testdata\ez_setup.py.ABOUT,setuptools boostrap,0.6c11,,,2013-01-01,,http://pypi.python.org/pypi/setuptools,http://peak.telecommunity.com/dist/ez_setup.py,,,,,,,,,,this is not used by default but embedded in virtualenv,,,,,,,,,,,,,,,,,,,,,,,,zpl-2.1,,"{('author', 'Phillip J. Eby'): 'This is not a mandatory or optional field. It will be ignored'}",{}
C:\Users\CYL\nexBWorkspace\about\thirdparty-testdata\FixedHeader.ABOUT,data tables fixed header,2.0.6,FixedHeader-2.0.6.zip,,,"""Fix"" a header at the top of the table, so it scrolls with the table",http://datatables.net,http://datatables.net/releases/FixedHeader-2.0.6.zip,,,,,,,,,,"This source file is free software, under either the GPL v2 license or a
 BSD style license, available at:
 http://datatables.net/license_gpl2
 http://datatables.net/license_bsd",,,Allan Jardine,"Copyright 2009-2012 Allan Jardine, all rights reserved.",,,,,,,http://datatables.net/license_bsd,,,,,,,,,,,,,bsd-new,,"{('author', 'Allan Jardine (www.sprymedia.co.uk)'): 'This is not a mandatory or optional field. It will be ignored'}",{}
C:\Users\CYL\nexBWorkspace\about\thirdparty-testdata\Font-Awesome.ABOUT,Font-Awesome,3.0.2,Font-Awesome-v3.0.2.zip,,,,http://fortawesome.github.com/Font-Awesome/,https://github.com/FortAwesome/Font-Awesome/archive/v3.0.2.zip,,,,,,,,,,"there are several licenses: SIL Open Font License, MIT License, CC BY 3.0 License, Attribution is no longer required in Font Awesome 3.0",,,FortAwesome,,,,Font-Awesome.NOTICE,,,,,,,git,https://github.com/FortAwesome/Font-Awesome.git,,,,13d5dd373cbf3f2bddd8ac2ee8df3a1966a62d09,,,,,ofl-1.1 and mit and cc-by-3.0 ,,{},{}
C:\Users\CYL\nexBWorkspace\about\thirdparty-testdata\jquery.js.ABOUT,jQuery,1.7.2,jquery-1.7.2.min.js,,,,http://jquery.com/,http://code.jquery.com/jquery-1.7.2.js,,,,,,,,,,,,,,,,,,,,jquery.js.LICENSE,http://jquery.org/license,,,git,https://github.com/jquery/jquery.git,,,,,,,,,mit,,{},{}
C:\Users\CYL\nexBWorkspace\about\thirdparty-testdata\jquery.jsPlumb.ABOUT,jquery.jsPlumb,1.3.10,jquery.jsPlumb-1.3.10-all-min.js,,,,http://code.google.com/p/jsplumb/,http://code.google.com/p/jsplumb/downloads/detail?name=jquery.jsPlumb-1.3.10-all-min.js,,,,,,,,,,,,,,,,,,,,jquery.js.LICENSE,,,,svn,http://jsplumb.googlecode.com/svn/trunk/,,,,,,,,,mit,,{},{}
C:\Users\CYL\nexBWorkspace\about\thirdparty-testdata\jquery.min.js.ABOUT,jQuery,1.7.2,jquery-1.7.2.min.js,,,,http://jquery.com/,http://code.jquery.com/jquery-1.7.2.min.js,,,,,,,,,,,,,,,,,,,,jquery.js.LICENSE,http://jquery.org/license,,,git,https://github.com/jquery/jquery.git,,,,,,,,,mit,,{},{}
